1, strawberry moon, 아이유
2, Savage, aespa
3, 사랑은 늘 도망가, 임영웅
4, STAY, The Kid LAROI, Justin Bieber
5, 신호등, 이무진
6, My Universe, Coldplay, 방탄소년단
7, Next Level, aespa
8, 다정히 내 이름을 부르면, 경서예지, 전건호
9, Rock with you, 세븐틴
10, 낙하 (with 아이유), AKMU (악뮤)
11, OHAYO MY NIGHT, 디핵 (D-Hack), PATEKO (파테코)
12, 이제 나만 믿어요, 임영웅
13, Permission to Dance, 방탄소년단
14, Butter, 방탄소년단
15, 바라만 본다, MSG워너비(M.O.M)
16, Weekend, 태연 (TAEYEON)
17, 그대라는 사치, 임영웅
18, 별빛 같은 나의 사랑아, 임영웅
19, 나비효과, 볼빨간사춘기
20, Peaches (Feat. Daniel Caesar & Giveon), Justin Bieber
21, 다시 사랑한다면 (김필 Ver.), 임영웅
22, 너를 생각해, 주시크 (Joosiq)
23, Dynamite, 방탄소년단
24, HERO, 임영웅
25, Favorite (Vampire), NCT 127
26, Bad Habits, Ed Sheeran
27, 잊었니, 임영웅
28, 여전히 아름다운지, 세븐틴
29, 끝사랑, 임영웅
30, 헤픈 우연, 헤이즈 (Heize)
31, Bk Love, 임영웅
32, 고백, 멜로망스
33, 좋아좋아, 조정석
34, 시간을 거슬러 (낮에 뜨는 달 X 케이윌), 케이윌
35, 너는 내 세상이었어, 볼빨간사춘기
36, 소용돌이, 세븐틴
37, 라일락, 아이유
38, Crush, 세븐틴
39, Celebrity, 아이유
40, 매일 그대라서 행복하다, 세븐틴
41, Queendom, Red Velvet (레드벨벳)
42, DUMB DUMB, 전소미
43, 그리워하는 것까지, 세븐틴
44, PANG!, 세븐틴
45, 찰나가 영원이 될 때 (The Eternal Moment), 마크툽 (MAKTUB)
46, 2 MINUS 1 (Digital Only), 세븐틴
47, 롤린 (Rollin'), 브레이브걸스
48, 가을 타나 봐, 이무진
49, 계단말고 엘리베이터, 임영웅
50, 나의 첫사랑, 다비치
51, 비와 당신, 이무진
52, 사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco), 호미들
53, Dun Dun Dance, 오마이걸 (OH MY GIRL)
54, 비가 오는 날엔 (2021), 헤이즈 (Heize)
55, 내 손을 잡아, 아이유
56, Savage Love (Laxed - Siren Beat) (BTS Remix), Jawsh 685, Jason Derulo, 방탄소년단
57, Off My Face, Justin Bieber
58, 작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey), 방탄소년단
59, Sticker, NCT 127
60, Ready to love, 세븐틴
61, Cold Blooded, 제시 (Jessi)
62, ASAP, STAYC(스테이씨)
63, 밝게 빛나는 별이 되어 비춰줄게, 송이한
64, 색안경 (STEREOTYPE), STAYC(스테이씨)
65, 어떻게 이별까지 사랑하겠어, 널 사랑하는 거지, AKMU (악뮤)
66, 하루만 더, 빅마마
67, 봄날, 방탄소년단
68, LOCO, ITZY (있지)
69, 추억은 만남보다 이별에 남아, 정동하
70, Blueming, 아이유
71, 가을 우체국 앞에서, 김대명
72, 밤하늘의 별을(2020), 경서
73, 고백, 신용재 (2F)
74, 모든 날, 모든 순간 (Every day, Every Moment), 폴킴
75, Life Goes On, 방탄소년단
76, 그리워 그리워, 이예준
77, Love On The Floor, NCT 127
78, Lovesick Girls, BLACKPINK
79, 에잇(Prod.&Feat. SUGA of BTS), 아이유
80, 멜로디, ASH ISLAND
81, Pilot, NCT 127
82, 오늘도 빛나는 너에게 (To You My Light) (Feat.이라온), 마크툽 (MAKTUB)
83, 취기를 빌려 (취향저격 그녀 X 산들), 산들
84, Hey Mama (Feat. Nicki Minaj, Bebe Rexha & Afrojack), David Guetta
85, 그날에 나는 맘이 편했을까, 이예준
86, 잠이 오질 않네요, 장범준
87, Timeless, SG 워너비
88, 아로하, 조정석
89, 운전만해 (We Ride), 브레이브걸스
90, 흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야, 장범준
91, 어푸 (Ah puh), 아이유
92, Lemonade, NCT 127
93, 오래된 노래, 스탠딩 에그
94, 사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)), 이해리 (다비치)
95, 2002, Anne-Marie
96, 안녕 (Hello), 조이 (JOY)
97, METEOR, 창모 (CHANGMO)
98, 치맛바람 (Chi Mat Ba Ram), 브레이브걸스
99, Alcohol-Free, TWICE (트와이스)
100, 사실 나는 (Feat.전건호), 경서예지
